STATE,YEAR,TOTAL_REVENUE_GROSS,FEDERAL_REVENUE_GROSS,STATE_REVENUE_GROSS,LOCAL_REVENUE_GROSS,TOTAL_EXPENDITURE_GROSS,INSTRUCTION_EXPENDITURE_GROSS,SUPPORT_SERVICES_EXPENDITURE_GROSS,CAPITAL_OUTLAY_EXPENDITURE_GROSS,ENROLMENT_GROSS,RULING_PARTY,POPULATION,AVERAGE_SCORE_GROSS,AM_AVERAGE_SCORE_GROSS,AS_AVERAGE_SCORE_GROSS,HI_AVERAGE_SCORE_GROSS,BL_AVERAGE_SCORE_GROSS,WH_AVERAGE_SCORE_GROSS,HP_AVERAGE_SCORE_GROSS,TR_AVERAGE_SCORE_GROSS,TOTAL_REVENUE_PCT,FEDERAL_REVENUE_PCT,STATE_REVENUE_PCT,LOCAL_REVENUE_PCT,TOTAL_EXPENDITURE_PCT,INSTRUCTION_EXPENDITURE_PCT,SUPPORT_SERVICES_EXPENDITURE_PCT,CAPITAL_OUTLAY_EXPENDITURE_PCT,ENROLMENT_PCT,AVERAGE_SCORE_PCT,AM_AVERAGE_SCORE_PCT,AS_AVERAGE_SCORE_PCT,HI_AVERAGE_SCORE_PCT,BL_AVERAGE_SCORE_PCT,WH_AVERAGE_SCORE_PCT,HP_AVERAGE_SCORE_PCT,TR_AVERAGE_SCORE_PCT,TOTAL_REVENUE_PC,FEDERAL_REVENUE_PC,STATE_REVENUE_PC,LOCAL_REVENUE_PC,TOTAL_EXPENDITURE_PC,INSTRUCTION_EXPENDITURE_PC,SUPPORT_SERVICES_EXPENDITURE_PC,CAPITAL_OUTLAY_EXPENDITURE_PC,ENROLMENT_PC
Tennessee,1992,3080490,308571,1305381,1466538,3132516,1830264,799825,232437,65195,Democrat,5039605,211.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611256239,0.061229203,0.259024467,0.291002569,0.621579667,0.363176082,0.158707875,0.046122067,0.01293653
Texas,1992,16264180,1160185,6706959,8397036,16119084,7961379,4613884,1833239,282693,Democrat,17759572,215.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915797971,0.065327306,0.377653189,0.472817476,0.907627954,0.448286648,0.259797027,0.103225404,0.015917782
Utah,1992,1555799,105349,872510,577940,1547980,841552,396073,155425,35956,Republican,1824914,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852532777,0.0577282,0.478110201,0.316694376,0.848248191,0.461146114,0.217036529,0.085168397,0.019702846
Vermont,1992,812377,31757,204163,576457,800377,386699,205777,25781,8329,Democrat,571972,217.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.420309036,0.055521949,0.356945795,1.007841293,1.399328988,0.676080298,0.359767611,0.045073885,0.014561902
Virginia,1992,5631293,313971,2180133,3137189,5744469,2982862,1758078,523409,79821,Democrat,6365589,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884646024,0.049323166,0.342487239,0.49283562,0.902425369,0.468591673,0.276184655,0.082224756,0.012539452
Washington,1992,4870832,263053,3467779,1140000,5360834,2587181,1518521,855759,74098,Democrat,5072178,217.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960303838,0.051861942,0.683686377,0.224755519,1.056909675,0.51007299,0.299382435,0.168716279,0.014608714
West Virginia,1992,1585099,130117,1021803,433179,1587968,835186,465429,156015,23556,Democrat,1796450,215.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882350747,0.07243007,0.568790114,0.241130563,0.883947786,0.464909126,0.259082635,0.08684628,0.013112527
Wisconsin,1992,4993909,217723,2205439,2570747,5181471,2914442,1490415,416449,63365,Republican,4986150,226.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00155611,0.043665554,0.442313007,0.51557755,1.039172708,0.584507486,0.298910983,0.083521154,0.012708202
Wyoming,1992,629748,31714,314216,283818,624941,339953,185930,60815,8049,Democrat,461627,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.364192302,0.068700488,0.680670758,0.614821057,1.353779133,0.736423563,0.402771068,0.131740561,0.017436155
Alabama,1993,2827391,331409,1729295,766687,2833433,1564558,794146,204207,57497,Democrat,4162541,207.75,0,0,0,0,0,0,0,5.543575032,8.952682155,4.235431831,7.127067963,6.768977895,5.591876375,8.041782987,17.32460802,-0.778283979,0.120481928,0,0,0,0,0,0,0,0.679246403,0.079616994,0.415442154,0.184187255,0.68069792,0.375866088,0.190783947,0.049058256,0.013812957
Arizona,1993,3427976,318465,1415407,1694104,3623946,1578889,1000914,680139,57701,Republican,4104849,209,0,0,0,0,0,0,0,5.214637214,6.907629713,3.328332658,6.522231221,6.537138624,9.957532098,-0.67656877,11.66037885,4.091425685,-1.41509434,0,0,0,0,0,0,0,0.835104044,0.077582635,0.344813415,0.412707995,0.882845142,0.384639971,0.243836984,0.1656916,0.01405679
Arkansas,1993,1346909,128196,771079,447634,1376067,782791,386526,97824,34255,Democrat,2447528,209.75,0,0,0,0,0,0,0,-21.32352469,-28.2100677,-19.57748609,-22.09682163,-21.05280369,-18.82481285,-20.05468595,-32.63366664,-1.088588589,-0.356294537,0,0,0,0,0,0,0,0.550314031,0.052377746,0.315043995,0.18289229,0.562227276,0.319829232,0.157925057,0.039968491,0.013995754
California,1993,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1944760,420233,Republican,30993508,201,0,0,0,0,0,0,0,6.790979826,3.796773898,3.128344738,15.53445401,3.582151214,6.422661813,4.61960355,-4.887200394,0.43377675,-1.951219512,0,0,0,0,0,0,0,0.904813292,0.069406696,0.550571623,0.284834973,0.906995943,0.493043479,0.287626654,0.062747334,0.013558743
