STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,ENROLMENT,RULING_PARTY,POPULATION,AVERAGE_SCORE,AM_AVERAGE_SCORE,AS_AVERAGE_SCORE,HI_AVERAGE_SCORE,BL_AVERAGE_SCORE,WH_AVERAGE_SCORE,HP_AVERAGE_SCORE,TR_AVERAGE_SCORE,TOTAL_REVENUE_PCT,FEDERAL_REVENUE_PCT,STATE_REVENUE_PCT,LOCAL_REVENUE_PCT,TOTAL_EXPENDITURE_PCT,INSTRUCTION_EXPENDITURE_PCT,SUPPORT_SERVICES_EXPENDITURE_PCT,CAPITAL_OUTLAY_EXPENDITURE_PCT,ENROLMENT_PCT,AVERAGE_SCORE_PCT,AM_AVERAGE_SCORE_PCT,AS_AVERAGE_SCORE_PCT,HI_AVERAGE_SCORE_PCT,BL_AVERAGE_SCORE_PCT,WH_AVERAGE_SCORE_PCT,HP_AVERAGE_SCORE_PCT,TR_AVERAGE_SCORE_PCT,TOTAL_REVENUE_PC,FEDERAL_REVENUE_PC,STATE_REVENUE_PC,LOCAL_REVENUE_PC,TOTAL_EXPENDITURE_PC,INSTRUCTION_EXPENDITURE_PC,SUPPORT_SERVICES_EXPENDITURE_PC,CAPITAL_OUTLAY_EXPENDITURE_PC,ENROLMENT_PC
Nevada,1992,1097076.0,45018.0,724032.0,328026.0,1251651.0,572623.0,334685.0,249189.0,18487.0,Democrat,1361118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8060109410058496,0.033074281583227914,0.5319391852873887,0.2409974741352329,0.9195756723516992,0.4207004829853106,0.2458897759048077,0.18307670606075302,0.013582216971636552
New Hampshire,1992,1063391.0,31020.0,86296.0,946075.0,1066647.0,581123.0,310285.0,63554.0,15611.0,Republican,1134559,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9372725437813284,0.02734101972660743,0.07606127138385928,0.8338702526708616,0.9401423813129154,0.5122016572077785,0.2734851162434038,0.05601647864941356,0.013759531236365849
New Jersey,1992,10814689.0,416063.0,4504718.0,5893908.0,10452340.0,6042936.0,2911782.0,474259.0,82909.0,Democrat,7867020,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3746868572852236,0.05288698897422404,0.5726079252372563,0.7491919430737433,1.3286276124885916,0.7681353295148607,0.3701251553955627,0.060284453325401485,0.010538806307852273
New Mexico,1992,1330091.0,161520.0,990653.0,177918.0,1339829.0,683253.0,432392.0,139206.0,24447.0,Democrat,1575864,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8440392064289812,0.10249615449048904,0.6286411771574196,0.11290187478107247,0.8502186736926537,0.43357358249189015,0.2743840839057178,0.08833630313275764,0.015513394556890697
New York,1992,21630179.0,1172030.0,8697663.0,11760486.0,22815611.0,13288972.0,6132532.0,1640971.0,197698.0,Democrat,18187656,216.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1892779916224498,0.06444095929678899,0.4782179187906347,0.6466191135350262,1.2544558243239259,0.7306588600532141,0.3371809979251862,0.09022443573817318,0.010869899892542502
North Carolina,1992,5236099.0,389145.0,3283378.0,1563576.0,5418687.0,2847638.0,1422278.0,774194.0,85244.0,Republican,6912772,212.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7574528712938889,0.05629362576980696,0.474972702701608,0.2261865428224741,0.7838660091783729,0.4119386549997599,0.2057464067960002,0.11199472512618673,0.01233137734037807
North Dakota,1992,559481.0,51476.0,242693.0,265312.0,553732.0,315009.0,152340.0,34904.0,9570.0,Republican,639480,227.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748999186839307,0.08049665353099393,0.37951616938762733,0.4148870957653093,0.8659098017138925,0.4926018014636893,0.2382248076562207,0.05458184775129793,0.01496528429348846
Ohio,1992,9285961.0,472604.0,3631703.0,5181654.0,9483822.0,5172782.0,2961942.0,742377.0,137839.0,Republican,10948320,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8481630971692461,0.04316680550075263,0.3317132674236778,0.4732830242448157,0.8662353676180455,0.4724726716062373,0.27053849357709675,0.06780738962690168,0.0125899681412308
Oklahoma,1992,2396705.0,211627.0,1470516.0,714562.0,2515272.0,1283577.0,779828.0,194081.0,48793.0,Democrat,3206599,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7474289738130648,0.06599733861327843,0.4585905502995541,0.2228410849002323,0.7844049099996601,0.4002923346511366,0.2431947368535947,0.06052549757546859,0.015216433361327688
Oregon,1992,2773959.0,163544.0,788309.0,1822106.0,2898210.0,1556770.0,967075.0,230464.0,41443.0,Democrat,2958137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377385158293886,0.055286148004639414,0.2664883337046256,0.6159640341201236,0.9797416414452744,0.5262670390181388,0.3269202880055927,0.07790849443416582,0.014009831187669807
